"time","open","high","low","close","volume","volumeq"
"2020-09-22 01:00:00+00",10417.22,10491.32,10353,10457.99,2684.66,28035488
"2020-09-22 00:00:00+00",10478.14,10506.17,10410,10417.22,1821.59,19055766
"2020-09-21 23:00:00+00",10504,10533.32,10466.68,10478.14,1371.18,14393971
"2020-09-21 22:00:00+00",10477.79,10533.42,10461.51,10504,1224.15,12846556
"2020-09-21 21:00:00+00",10498.55,10533.46,10470.8,10477.79,2312.87,24304476
"2020-09-21 20:00:00+00",10444.05,10499,10435.21,10498.55,2854.79,29904138
"2020-09-21 19:00:00+00",10394.22,10444.64,10374.54,10444.05,2053.83,2.136267E+7
"2020-09-21 18:00:00+00",10384.64,10430.55,10370,10394.22,2154.63,22423434
"2020-09-21 17:00:00+00",10418.76,10438.53,10356.54,10384.64,3116.04,32412926
"2020-09-21 16:00:00+00",10414.98,10452.95,10348.35,10418.76,4349.68,4.523926E+7
"2020-09-21 15:00:00+00",10590.06,10604.32,10296.35,10414.98,8461.46,88384464
"2020-09-21 14:00:00+00",10570.3,10638.1,10554.46,10590.06,3604.88,38232176
"2020-09-21 13:00:00+00",10636.47,10636.47,10503.08,10570.3,5151.9,54437404
"2020-09-21 12:00:00+00",10668.58,10687.86,10580,10636.47,4864.96,51702716
"2020-09-21 11:00:00+00",10700.01,10735,10635,10668.58,6013.83,64262508
"2020-09-21 10:00:00+00",10851.83,10860,10688,10700.01,5710.81,6.151716E+7
"2020-09-21 09:00:00+00",10902.58,10912.62,10800,10851.83,4129.95,4.482372E+7
"2020-09-21 08:00:00+00",10946.2,10955.11,10889,10902.58,2081.34,22723222
"2020-09-21 07:00:00+00",10959.75,10976.36,10929.95,10946.2,1306.8,1.431386E+7
"2020-09-21 06:00:00+00",10956.75,10961.18,10931.88,10959.75,1057.63,11577867
"2020-09-21 05:00:00+00",10962.76,10988.86,10954.45,10956.75,1353.1,1.484181E+7
"2020-09-21 04:00:00+00",10940.27,10963.11,10918.44,10962.76,1136.99,12442281
"2020-09-21 03:00:00+00",10943.91,10970.16,10936.01,10940.27,1154.87,12649003
"2020-09-21 02:00:00+00",10953.93,10978,10941.41,10943.91,1416.91,15528375
"2020-09-21 01:00:00+00",10920.28,10971.42,10894.42,10953.93,1979.24,21641028
"2020-09-21 00:00:00+00",10874.66,10938.02,10874.66,10920.28,1744.35,1.904167E+7
"2020-09-20 23:00:00+00",10871.67,10885.96,10827.26,10874.66,1275.13,13838698
"2020-09-20 22:00:00+00",10850.7,10893.27,10813.51,10871.67,1736.7,18850282
"2020-09-20 21:00:00+00",10871.03,10878.39,10837.85,10850.7,1671.54,18144504
"2020-09-20 20:00:00+00",10891.25,10899.91,10855.16,10871.03,977.19,10633853
"2020-09-20 19:00:00+00",10894.66,10903.77,10864.38,10891.25,1083.53,11792688
"2020-09-20 18:00:00+00",10852.25,10898.79,10850,10894.66,2007.42,21824684
"2020-09-20 17:00:00+00",10834.58,10858.77,10723,10852.25,3584.55,38746724
"2020-09-20 16:00:00+00",10838.55,10876.48,10829,10834.58,1767.97,19185248
"2020-09-20 15:00:00+00",10866.07,10868.01,10833.31,10838.55,1477.91,16030067
"2020-09-20 14:00:00+00",10850.64,10870.84,10775,10866.07,3073.2,33309084
"2020-09-20 13:00:00+00",10951.17,10958.18,10825.1,10850.64,3200.97,34816152
"2020-09-20 12:00:00+00",10983.64,10983.64,10939,10951.17,1423.45,15602135
"2020-09-20 11:00:00+00",10964.67,10984,10943.45,10983.64,1137.5,12468542
"2020-09-20 10:00:00+00",10952.92,10968.26,10925.27,10964.67,1388.21,15197323
"2020-09-20 09:00:00+00",10962.61,10979.68,10950.46,10952.92,1053.48,11550135
"2020-09-20 08:00:00+00",10964.65,10995.31,10949.03,10962.61,1182.13,12971714
"2020-09-20 07:00:00+00",10952.38,10970.22,10938.05,10964.65,1018.81,11157986
"2020-09-20 06:00:00+00",10968,10968,10934.6,10952.38,899.65,9849153
"2020-09-20 05:00:00+00",10948.81,10982.24,10933,10968,1070.78,11735234
"2020-09-20 04:00:00+00",10918.19,10954.92,10899.33,10948.81,1125.16,12304536
"2020-09-20 03:00:00+00",10939.63,10966.88,10913,10918.19,1372.81,15019974
"2020-09-20 02:00:00+00",11056,11056,10921,10939.63,2716.58,29818014
"2020-09-20 01:00:00+00",11080.65,11080.65,11042.7,11056,1168.91,12926809
"2020-09-20 00:00:00+00",11064.28,11087.61,11040,11080.65,936.47,10361824
"2020-09-19 23:00:00+00",11052.18,11067.57,11026.4,11064.28,1138.38,12575066
"2020-09-19 22:00:00+00",11087.31,11087.35,11026.5,11052.18,1098.74,1.214619E+7
"2020-09-19 21:00:00+00",11054.2,11087.99,11043.1,11087.31,921.04,1.019207E+7
"2020-09-19 20:00:00+00",11048.11,11074.45,11032.62,11054.2,1059.64,11713697
"2020-09-19 19:00:00+00",11068.3,11073.05,11011.31,11048.11,1941.61,2.143267E+7
"2020-09-19 18:00:00+00",11059.3,11095.31,11059.3,11068.3,1407.23,15587853
"2020-09-19 17:00:00+00",11090.56,11119.93,11056.45,11059.3,1453.4,16103996
"2020-09-19 16:00:00+00",11079.13,11105.07,11050.3,11090.56,1749.38,19381566
"2020-09-19 15:00:00+00",11105,11105,11043,11079.13,1835.47,20326502
"2020-09-19 14:00:00+00",11098.98,11128.88,11072.24,11105,2277.09,25269316
"2020-09-19 13:00:00+00",11140,11179.79,11047.06,11098.98,3366.64,37376548
"2020-09-19 12:00:00+00",10993.11,11150,10972.05,11140,4583.38,50630096
"2020-09-19 11:00:00+00",10944.42,10993.22,10933.67,10993.11,1606.4,17593836
"2020-09-19 10:00:00+00",10926.86,10961.77,10920.05,10944.42,1281.75,14024988
"2020-09-19 09:00:00+00",10900.29,10929.73,10887.37,10926.86,1562.3,1.703661E+7
"2020-09-19 08:00:00+00",10944.82,10949.99,10898.11,10900.29,1695.39,18516982
"2020-09-19 07:00:00+00",10933.44,10953.28,10930,10944.82,1092.55,11953649
"2020-09-19 06:00:00+00",10956.67,10962.33,10926.28,10933.44,1121.67,12275728
"2020-09-19 05:00:00+00",10976,10980,10949.65,10956.67,951.39,10430361
"2020-09-19 04:00:00+00",10970,10977.75,10947.39,10976,1196.74,1.312071E+7
"2020-09-19 03:00:00+00",10945.49,10970,10941.83,10970,1290.02,14132917
"2020-09-19 02:00:00+00",10972.79,10974.03,10934.2,10945.49,1283.4,14053271
"2020-09-19 01:00:00+00",10933.39,10974.03,10929.88,10972.79,1589.96,17415458
"2020-09-19 00:00:00+00",10928.04,10937.02,10884.38,10933.39,1425.77,15559168
"2020-09-18 23:00:00+00",10939.63,10944.79,10919.07,10928.04,1151.46,12585915
"2020-09-18 22:00:00+00",10886.79,10942.2,10873.94,10939.63,1204.03,13127188
"2020-09-18 21:00:00+00",10866.55,10902.21,10850,10886.79,1621.04,17633932
"2020-09-18 20:00:00+00",10861.63,10880,10842.3,10866.55,1703.04,18503192
"2020-09-18 19:00:00+00",10834.42,10876.18,10818,10861.63,2623.49,2.845614E+7
"2020-09-18 18:00:00+00",10882.75,10898.41,10812.84,10834.42,3923.19,42551188
"2020-09-18 17:00:00+00",10899.37,10900,10828.74,10882.75,2720.52,29584136
"2020-09-18 16:00:00+00",10945.21,10945.22,10870.37,10899.37,2898.23,31601992
"2020-09-18 15:00:00+00",10914.51,10954.11,10903.72,10945.21,1935.87,21174492
"2020-09-18 14:00:00+00",10990.49,11003.09,10907.74,10914.51,2211.93,24238462
"2020-09-18 13:00:00+00",10977.26,10994.75,10952.12,10990.49,1918.68,2.105367E+7
"2020-09-18 12:00:00+00",10974,11003.63,10966.64,10977.26,1940.28,21319888
"2020-09-18 11:00:00+00",11008.38,11014.52,10972.57,10974,2135.32,23472266
"2020-09-18 10:00:00+00",10959.1,11038.03,10953.49,11008.38,2771.82,30480782
"2020-09-18 09:00:00+00",10954.14,10965,10925.62,10959.1,2123.54,23240544
"2020-09-18 08:00:00+00",10966.76,10968.47,10931.86,10954.14,2380.29,26065418
"2020-09-18 07:00:00+00",10926.46,10985,10898,10966.76,2172.93,23761762
"2020-09-18 06:00:00+00",10904.6,10927.34,10893.99,10926.46,1214.38,13253116
"2020-09-18 05:00:00+00",10924.36,10926.28,10870.01,10904.6,1821.43,1.985733E+7
"2020-09-18 04:00:00+00",10920.9,10941.53,10920.9,10924.36,1277.54,13967508
"2020-09-18 03:00:00+00",10901.09,10937.69,10901.09,10920.9,1140.76,12459017
"2020-09-18 02:00:00+00",10905.71,10922.97,10888.1,10901.09,1348.89,14707562
"2020-09-18 01:00:00+00",10939.99,10960,10883.2,10905.71,1602.31,1.749327E+7
"2020-09-18 00:00:00+00",10912.08,10940,10904,10939.99,1376.66,15043701
"2020-09-17 23:00:00+00",10957.45,10965,10903.51,10912.08,1587.17,1.735041E+7
